ID,Married Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Age Brakets,Purchased Bike
12496,Married,Female,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,Middle Age,No
24107,Married,Male,30000,3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,Middle Age,No
11809,Married,Male,60000,2,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,38,Middle Age,Yes
11292,Single,Male,150000,1,Partial College,Professional,No,3,0-1 Miles,North America,44,Middle Age,Yes
25597,Single,Male,30000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Middle Age,Yes
13920,Single,Female,50000,4,Bachelors,Skilled Manual,Yes,2,0-1 Miles,North America,42,Middle Age,No
27974,Single,Male,160000,2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Middle Age,Yes
19364,Married,Male,40000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Middle Age,Yes
11269,Married,Male,130000,2,Graduate Degree,Management,Yes,2,0-1 Miles,North America,41,Middle Age,No
19280,Married,Male,120000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Middle Age,Yes
20659,Married,Male,70000,3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35,Middle Age,Yes
11734,Married,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,North America,47,Middle Age,No
11434,Married,Male,170000,5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,Middle Age,No
29037,Married,Male,60000,0,Graduate Degree,Professional,No,0,0-1 Miles,North America,39,Middle Age,No
23542,Single,Male,60000,1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Middle Age,Yes
20870,Single,Female,10000,2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Middle Age,Yes
27756,Single,Female,50000,3,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,40,Middle Age,No
12610,Married,Female,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,Middle Age,No
21940,Married,Male,90000,5,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,47,Middle Age,Yes
14662,Married,Male,60000,1,Bachelors,Professional,Yes,1,0-1 Miles,North America,48,Middle Age,Yes
25598,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Middle Age,Yes
22296,Married,Male,70000,0,Bachelors,Professional,No,1,0-1 Miles,North America,38,Middle Age,No
21693,Single,Female,60000,0,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,40,Middle Age,No
25419,Single,Male,50000,2,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,38,Middle Age,Yes
27184,Single,Male,40000,2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,Middle Age,No
12590,Single,Male,30000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,Old,No
17841,Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Adolocense,Yes
24322,Married,Female,60000,4,Bachelors,Skilled Manual,No,2,0-1 Miles,North America,42,Middle Age,No
11663,Married,Male,70000,4,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,36,Middle Age,Yes
16466,Single,Female,20000,0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Middle Age,Yes
19273,Married,Female,20000,2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,Old,No
22400,Married,Male,10000,0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Adolocense,Yes
18050,Married,Female,60000,1,Partial College,Skilled Manual,Yes,1,0-1 Miles,North America,45,Middle Age,Yes
12033,Single,Female,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Adolocense,Yes
27273,Single,Male,70000,3,Graduate Degree,Professional,No,0,0-1 Miles,North America,35,Middle Age,Yes
28380,Single,Female,10000,5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,Middle Age,No
17891,Married,Female,10000,2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Middle Age,Yes
21713,Single,Male,80000,5,Graduate Degree,Skilled Manual,No,0,0-1 Miles,North America,47,Middle Age,No
26305,Single,Female,60000,2,Bachelors,Skilled Manual,No,0,0-1 Miles,North America,36,Middle Age,Yes
16259,Single,Female,10000,4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Middle Age,Yes
27803,Single,Female,30000,2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,Middle Age,No
16122,Married,Male,40000,4,High School,Skilled Manual,Yes,2,0-1 Miles,North America,44,Middle Age,Yes
17703,Married,Female,10000,1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,Middle Age,No
12029,Married,Male,30000,0,Partial High School,Clerical,No,2,0-1 Miles,North America,28,Adolocense,No
29380,Married,Female,20000,3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Middle Age,Yes
23986,Married,Female,20000,1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Old,Yes
21583,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,North America,34,Middle Age,Yes
13873,Married,Male,70000,3,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,35,Middle Age,Yes
19487,Married,Male,30000,2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,Middle Age,No
